,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
,,United Kingdom,14430,15273,15763,15143,13970,14285,16380,17387,17769,18249,22935,31717,0,20.7,21.7,22.0333333333333,23.0333333333333,21,20.1333333333333,22.5666666666667,25,27.0333333333333,27.4333333333333,31.7666666666667,40.0666666666667
,Southern Europe,Albania,,,49,40,41,39,34,24,22,24,39,41,,,,1.6,1.3,1.4,1.3,1.2,0.8,0.8,0.8,1.4,1.4
,,Andorra,,,,,2,2,0,1,2,5,3,6,,,,,,2.4,2.3,0,1.2,2.4,6.3,4,8.2
,,Bosnia and Herzegovina,,,39,40,44,35,29,46,35,41,35,27,,,,1,1,1.1,0.9,0.8,1.2,0.9,1.1,0.9,0.7
,,Croatia,213,165,142,187,162,188,129,141,122,126,271,333,,4.9,3.8,3.2,4.3,3.7,4.3,3,3.3,2.8,2.9,6.3,7.8
,,Greece,231,240,177,182,185,232,213,215,172,167,149,134,,2.1,2.2,1.6,1.6,1.7,2.1,1.9,1.9,1.5,1.5,1.3,1.2
,,Kosovo under UNSCR 1244,,,,,,50,44,33,24,33,32,29,,,,,,,2.8,2.4,1.8,1.3,1.8,1.7,1.5
,,Malta,11,13,7,17,10,19,12,11,18,13,15,11,,2.8,3.3,1.8,4.3,2.5,4.7,2.9,2.7,4.3,3.1,3.6,2.6
,,Montenegro,,,8,11,7,17,9,5,3,3,4,5,,,,1.3,1.8,1.1,2.7,1.4,0.8,0.5,0.5,0.6,0.8
,,Portugal,392,338,365,341,305,314,377,424,374,375,345,374,,3.8,3.2,3.5,3.2,2.9,3,3.6,4,3.5,3.6,3.3,3.6
,,Serbia,,,89,115,105,123,111,72,79,85,70,65,,,,1,1.3,1.2,1.4,1.2,0.8,0.9,0.9,0.8,0.7
,,Slovenia,70,87,58,55,97,57,79,63,55,58,53,44,,3.5,4.4,2.9,2.7,4.8,2.8,3.9,3.1,2.7,2.8,2.6,2.1
,,Spain,,,2140,2102,2530,2437,2051,1578,1513,1280,1298,1239,,,,4.9,4.7,5.6,5.3,4.4,3.4,3.2,2.7,2.8,2.7
,,Macedonia,,,93,49,42,41,37,28,41,43,38,45,,,,4.6,2.4,2,2,1.8,1.4,2,2.1,1.8,2.2
,,Holy See,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
,Western Europe,Austria,,687,678,700,710,693,779,875,977,883,920,839,,,8.4,8.2,8.5,8.6,8.3,9.3,10.4,11.6,10.4,10.8,9.9
,,Belgium,2850,2944,3029,3217,3290,3231,3152,3281,3369,3337,3248,2882,,27.3,28.1,28.7,30.3,30.7,30,29,30,30.6,30.1,29.1,25.7
,,France,10408,10506,9993,9784,10132,10277,9842,10108,10406,10885,11171,12157,,17.2,17.3,16.3,15.9,16.4,16.5,15.7,16.1,16.4,17.1,17.5,19
,,Germany,8766,8831,8133,8118,7511,7292,7314,7724,7539,8031,7408,7345,,10.7,10.8,10,10,9.3,9,9.1,9.6,9.4,10,9.2,9.1
,,Liechtenstein,0,1,4,2,1,3,0,0,2,4,3,5,,0,2.9,11.5,5.7,2.8,8.4,0,0,5.5,10.9,8.1,13.4
,,Luxembourg,,,,40,44,57,56,66,70,76,89,73,,,,,8.6,9.3,11.8,11.3,13,13.5,14.3,16.3,13.1
,,Monaco,1,,3,2,,,,,,,,,,3,,8.9,5.8,,,,,,,,
,,Netherlands,1700,1800,2505,2405,2135,1945,1920,1660,1605,1405,1205,1175,,10.5,11.1,15.3,14.7,13,11.8,11.6,10,9.6,8.4,7.2,7
,,Switzerland,547,573,646,639,648,612,666,543,552,569,571,556,,7.5,7.8,8.7,8.5,8.6,8,8.6,6.9,7,7.1,7,6.8
Oceania,Australia and New Zealand,New Zealand,,,994,1183,1143,1130,1128,1129,1325,1322,1431,,,,,24,28.3,27,26.4,26.1,25.8,30.1,29.8,32,
,,Australia,,,994,1183,1143,1130,1128,1129,1325,1322,1431,,,,,24,28.3,27,26.4,26.1,25.8,30.1,29.8,32,
,Melanesia,Solomon Islands,,170,65,79,61,56,,,,,,,,,37.1,13.9,16.4,12.4,11.1,,,,,,
