,,,Count,,,,,,,,,,,,,"Rate per 100,000 population",,,,,,,,,,,
,,Cyprus,,137,112,101,128,97,78,79,77,69,47,51,,,13.5,10.8,9.6,12,9,7.2,7.2,6.9,6.1,4.1,4.4
,,Georgia,,98,164,229,215,202,163,165,,,,131,,,2.2,3.7,5.2,4.9,4.7,3.8,3.9,,,,3.2
,,Israel,,4885,4598,,4630,4497,,4956,4572,,,,,,75.5,69.6,,66.9,63.4,,66.8,60.4,,,
,,Kuwait,,393,372,422,421,421,509,,,,,,,,18.1,16.4,17.7,16.6,15.6,17.7,,,,,
,,Lebanon,,,,,,101,198,210,187,217,199,202,,,,,,,2.5,4.7,4.8,4.1,4.4,3.8,3.6
,,Oman,,,,,132,183,,,,,,,,,,,,5.1,6.9,,,,,,
,,State of Palestine,,,,,,26,147,177,174,120,133,,,,,,,,0.7,3.7,4.4,4.2,2.8,3,
,,Syria,,,,,70,85,,,,,,,,,,,,0.4,0.4,,,,,,
,,Turkey,2858,2893,3020,3300,2476,2645,3179,4186,4724,5527,,,,4.3,4.3,4.5,4.8,3.6,3.8,4.5,5.8,6.4,7.4,,
,,United Arab Emirates,,,,,,,,,,207,353,382,,,,,,,,,,,2.3,3.9,4.2
,,Yemen,,,0,71,54,81,72,,,,,,,,,0,0.3,0.2,0.4,0.3,,,,,
Europe,Eastern Europe,Belarus,,775,819,672,684,527,509,366,344,439,483,451,,,8,8.5,7,7.2,5.5,5.4,3.9,3.6,4.6,5.1,4.7
,,Bulgaria,1287,1175,1037,911,764,749,726,696,649,696,632,610,,16.5,15.2,13.5,11.9,10.1,10,9.7,9.4,8.8,9.5,8.7,8.5
,,Czech Republic,1898,1909,1849,1615,1689,1680,1730,1811,2086,1981,2109,2205,,18.6,18.7,18.1,15.7,16.3,16.2,16.5,17.2,19.8,18.8,20,20.9
,,Hungary,560,772,858,653,643,2527,1462,1292,809,1355,5974,773,,5.5,7.6,8.5,6.5,6.4,25.1,14.6,12.9,8.1,13.6,60.2,7.8
,,Poland,,,,,3709,3294,3187,3099,3030,2776,3213,4485,,,,,,9.6,8.6,8.3,8,7.9,7.2,8.3,11.6
,,Republic of Moldova,,471,393,389,423,474,402,557,461,617,608,648,,,11.3,9.5,9.4,10.2,11.5,9.8,13.6,11.3,15.1,14.9,15.9
,,Romania,,,,,1565,1566,1605,1486,1325,1541,1571,1516,,,,,,7.5,7.6,7.8,7.3,6.6,7.7,7.9,7.7
,,Russian Federation,,16381,18491,20914,20182,18852,17903,15770,16647,14268,13142,14686,,,11.4,12.9,14.6,14.1,13.2,12.5,11,11.6,10,9.2,10.2
,,Slovakia,,,,283,293,252,626,562,776,641,641,679,,,,,5.3,5.4,4.7,11.6,10.4,14.3,11.8,11.8,12.5
,,Ukraine,2180,1988,1929,2114,1898,1995,1698,1348,,,,,,4.6,4.2,4.1,4.5,4.1,4.3,3.7,3,,,,
,Northern Europe,Estonia,215,526,402,354,244,368,309,275,311,400,381,339,,15.7,38.6,29.7,26.2,18.2,27.5,23.1,20.6,23.4,30.2,28.9,25.8
,,Finland,1581,1765,1919,2728,2326,2906,2205,2417,3252,3511,3310,3001,,30.3,33.8,36.6,51.8,44,54.7,41.3,45,60.3,64.7,60.7,54.8
,,Iceland,,,288,281,349,368,,,285,273,452,,,,,97.1,93.4,114.3,118.7,,,88.8,84.4,138.9,
,,Ireland,,1752,1801,1415,1366,1406,1480,2366,2014,2116,2010,2065,,,42.5,42.8,33,31.1,31.4,32.5,51.2,43.3,45.3,43,44.2
,,Latvia,305,648,721,328,460,416,315,231,198,326,452,553,,13.3,28.7,32.4,14.9,21.2,19.4,14.9,11,9.6,16,22.5,27.8
,,Lithuania,415,444,558,521,405,408,397,591,571,507,442,438,,12.2,13.1,16.7,15.8,12.4,12.7,12.5,18.9,18.6,16.8,14.9,15
,,Norway,1996,1952,1960,2176,2235,2296,2410,2448,2661,2625,2500,2657,,43.8,42.5,42.4,46.6,47.4,48.1,49.9,50,53.7,52.3,49.2,51.6
,,Sweden,10142,10419,11711,12147,12563,14678,16038,17557,17521,17358,18189,21267,,113.4,116,129.7,133.7,137.3,159.1,172.4,187.1,185.2,181.9,189,219.2
,,United Kingdom (England and Wales),48732,47542,47163,43738,41521,40923,43698,45363,44580,46118,56578,78575,,92.2,89.4,88,81.1,76.3,74.6,79.1,81.5,79.4,81.5,99.3,136.9
,,United Kingdom (Northern Ireland),1461,1262,1410,1496,1448,1579,1501,1632,1664,1694,1908,2327,,85.7,73.6,81.6,85.8,82.2,88.8,83.7,90.4,91.7,92.9,104.3,126.4
,,United Kingdom (Scotland),,7324,6558,6726,6552,6331,6527,5167,5520,6015,6925,7393,,,144.1,128.3,131,126.7,121.7,124.8,98.2,104.2,113.2,130,138.2
,,United Kingdom,16731,18709.3333333333,18377,17320,16507,16277.6666666667,17242,17387.3333333333,17254.6666666667,17942.3333333333,21803.6666666667,29431.6666666667,0,59.3,102.366666666667,99.3,99.3,95.0666666666667,95.0333333333333,95.8666666666667,90.0333333333333,91.7666666666667,95.8666666666667,111.2,133.833333333333
,Southern Europe,Albania,,,89,87,101,76,83,79,44,44,87,97,,,,2.9,2.9,3.4,2.6,2.8,2.7,1.5,1.5,3,3.4
,,Andorra,,,,,10,15,6,10,17,18,18,16,,,,,,11.8,17.5,7,11.8,20.6,22.7,23.7,22
,,Bosnia and Herzegovina,,,,,176,170,89,147,167,139,137,134,,,,,,4.6,4.4,2.3,3.8,4.4,3.6,3.6,3.5
,,Croatia,549,485,622,610,681,761,658,567,561,512,740,826,,12.5,11.1,14.2,14,15.6,17.5,15.2,13.1,13,11.9,17.3,19.4
,,Greece,899,626,633,695,555,682,924,901,535,821,860,589,,8.2,5.7,5.7,6.3,5,6.1,8.3,8.1,4.8,7.4,7.8,5.4
,,Italy,2744,3734,4020,4513,4897,4893,4963,4813,4617,4689,4488,4257,,4.7,6.4,6.9,7.7,8.3,8.2,8.3,8.1,7.7,7.8,7.5,7.1
,,Kosovo under UNSCR 1244,,,,,,194,170,149,154,164,208,54,,,,,,,10.7,9.4,8.2,8.4,8.9,11.2,2.9
,,Malta,,,,,70,80,82,91,69,82,94,77,,,,,,17.4,19.7,20,22.1,16.7,19.7,22.6,18.4
,,Montenegro,32,42,35,43,30,35,42,36,25,24,25,31,,5.2,6.8,5.7,7,4.8,5.6,6.8,5.8,4,3.8,4,5
,,Portugal,1966,1701,1619,1729,1810,2251,2556,2206,2182,2134,2238,2475,,18.9,16.3,15.4,16.4,17.2,21.3,24.1,20.8,20.7,20.3,21.4,23.8
,,Serbia,,,532,457,419,436,455,493,432,385,313,348,,,,5.8,5,4.6,4.8,5,5.4,4.8,4.3,3.5,3.9
,,Slovenia,145,369,311,286,363,276,345,375,312,264,270,202,,7.3,18.5,15.6,14.3,18,13.6,16.9,18.3,15.2,12.8,13.1,9.8
,,Spain,,,,,10348,11558,10684,9958,9892,9008,8923,9468,,,,,,22.9,25.2,23.1,21.4,21.2,19.3,19.2,20.5
,,Macedonia,,,,146,145,155,136,124,126,120,151,135,,,,,7.1,7.1,7.5,6.6,6,6.1,5.8,7.3,6.5
,,Holy See,,,,,,,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0
,Western Europe,Austria,,2004,1674,1738,1793,2934,2568,2692,3094,3185,3067,2791,,,24.4,20.3,21,21.6,35.2,30.7,32.1,36.7,37.7,36.1,32.8
,,Belgium,5565,,6047,6492,6559,6586,6771,7044,7208,6975,6995,6449,,53.4,,57.3,61.1,61.3,61.1,62.4,64.4,65.5,63,62.7,57.4
,,France,25802,26238,23868,22864,23247,24031,23253,22963,23871,26783,27778,30959,,42.7,43.1,39,37.1,37.5,38.6,37.1,36.5,37.7,42.1,43.5,48.3
,,Germany,54632,57306,55203,52231,56281,56784,49084,46869,47078,45824,46793,46982,,67,70.4,67.9,64.4,69.6,70.4,61,58.3,58.5,56.9,58.1,58.3
,,Liechtenstein,17,7,18,12,18,11,3,6,5,12,6,8,,49.6,20.2,51.6,34.1,50.8,30.8,8.3,16.5,13.7,32.6,16.2,21.5
,,Luxembourg,,,,205,592,353,208,211,217,278,268,286,,,,,44,124.7,72.8,41.9,41.5,41.7,52.2,49.2,51.4
,,Netherlands,,,7285,7140,6520,10495,10245,9610,9195,8880,8320,7870,,,,44.6,43.5,39.6,63.5,61.8,57.8,55.1,53,49.5,46.7
,,Switzerland,,,,,,,6648,6321,6121,6483,7239,6484,,,,,,,,85.9,80.7,77.2,80.8,89.2,79
Oceania,Australia and New Zealand,Australia,,,,,,6382,6343,18862,18616,19448,20025,20677,,,,,,,29.9,29.1,85.1,82.6,84.9,86.1,87.5
,,New Zealand,,,2465,2823,2788,2732,2826,2913,3347,3389,3739,3738,,,,59.6,67.4,65.8,63.8,65.3,66.7,76,76.4,83.7,83.2
,Melanesia,Solomon Islands,,319,204,231,139,122,,,,,,,,,69.7,43.5,48.1,28.2,24.2,,,,,,
